T_K,status,rho_l_molm3,rho_v_molm3,p_Pa,h_l_Jmol,h_v_Jmol,r_P,r_mu,iterations,fallback_used,notes
285.7688442211055,CONVERGED,3694.023951896748,1021.8768024654162,1438143.4521090547,42280.21996021423,42940.02706985407,4.856900262190549e-16,7.655632998150967e-16,6,False,attempt=1; line-search rejected step
286.4321608040201,CONVERGED,3722.111985500324,1011.5401478433841,1439490.8681659927,42879.17101092749,43040.17180444555,1.6174513420186638e-16,7.637904163839459e-16,7,False,attempt=1; line-search rejected step
287.0954773869347,CONVERGED,3749.1805664289996,999.0275770812151,1439155.7044793814,43526.31620846281,43145.50627280314,1.2942624230536431e-15,3.810128626153898e-16,6,False,attempt=1; line-search rejected step
287.75879396984925,CONVERGED,3774.890426410555,984.5069118007033,1437077.6560679276,44221.13034145031,43255.56432165614,6.48066978623636e-16,1.900672924258038e-15,9,False,attempt=1; line-search rejected step
288.4221105527638,CONVERGED,3799.0244622307932,968.1757992469215,1433217.3466300978,44962.5410553187,43369.81880345926,4.873593894212642e-16,7.585206936700278e-16,9,False,attempt=1; line-search rejected step
289.0854271356784,CONVERGED,3821.468754317783,950.249118850751,1427556.452103985,45748.9539981481,43487.71198330663,1.6309732852295633e-16,0.0,6,False,attempt=1; line-search rejected step
289.74874371859295,CONVERGED,3842.19034560911,930.9482598027486,1420097.2749797292,46578.24936172543,43608.6805788956,0.0,1.1325716371978385e-15,8,False,attempt=1; line-search rejected step
290.41206030150755,CONVERGED,3861.215757495123,910.4928171157028,1410861.9499075785,47447.75852586482,43732.174470640806,1.6502723294020487e-16,7.5332318891689e-16,8,False,attempt=1; line-search rejected step
291.0753768844221,CONVERGED,3878.612345365514,889.0947016968188,1399891.406515211,48354.230881418196,43857.669398104685,2.993769063989261e-15,3.758032398823019e-16,6,False,attempt=1; line-search rejected step
291.7386934673367,CONVERGED,3894.47325131826,866.9543399443252,1387244.1658485653,49293.799736900066,43984.67464416066,1.6783681588702098e-16,0.0,7,False,attempt=1; line-search rejected step
292.40201005025125,CONVERGED,3908.9059097573645,844.2585124820149,1372995.0110109244,50261.95413046916,44112.73692516038,5.087359570573496e-16,1.1222946415210588e-15,9,False,attempt=1; line-search rejected step
293.0653266331658,CONVERGED,3922.0236682560285,821.1793821013387,1357233.5512989436,51253.521283114555,44241.44163424371,1.7154795755751728e-15,7.465029789760788e-16,8,False,attempt=1; line-search rejected step
293.7286432160804,CONVERGED,3933.93995025743,797.8743258547885,1340062.6896558604,52262.66270556649,44370.412379637,8.687304163123239e-16,7.448171787772003e-16,7,False,attempt=1; line-search rejected step
294.391959798995,CONVERGED,3944.764390988223,774.4862725049358,1321597.0018049935,53282.88567186299,44499.30952188477,1.761737075189163e-16,7.431389753838063e-16,7,False,attempt=1; line-search rejected step
295.05527638190955,CONVERGED,3954.6004474108963,751.1443298580461,1301961.0385570186,54307.07082933305,44627.82819753872,1.7883073053546905e-16,0.0,7,False,attempt=1; line-search rejected step
295.7185929648241,CONVERGED,3963.544073474084,727.9645561283505,1281287.5678913204,55327.5160293832,44755.696143279245,0.0,7.398051545317585e-16,8,False,attempt=1; line-search rejected step
296.3819095477387,CONVERGED,3971.683140972441,705.050782695318,1259715.7787277668,56335.995948337535,44882.671506568855,0.0,0.0,7,False,attempt=1; line-search rejected step
297.04522613065325,CONVERGED,3979.0973642333233,682.4954337473387,1237389.4727572738,57323.836658927576,45008.5407408921,1.128976682507505e-15,0.0,6,False,attempt=1; line-search rejected step
297.70854271356785,CONVERGED,3985.8585506491577,660.3803141736211,1214455.2737189243,58282.003970330516,45133.11662681611,4.409470583169781e-15,0.0,8,False,attempt=1; line-search rejected step
298.3718592964824,CONVERGED,3992.031049152325,638.7773536869354,1191060.8848754175,59201.20405557786,45256.23642607584,2.7367442357870106e-15,0.0,5,False,attempt=1; line-search rejected step
299.035175879397,CONVERGED,3997.672306864966,617.7493051662811,1167353.4251484452,60071.99462002325,45377.760157585326,1.9945171585397282e-16,2.926400062773739e-15,5,False,attempt=1; line-search rejected step
299.69849246231155,CONVERGED,4002.833472523832,597.3504006838522,1143477.872574084,60884.904631595695,45497.56897626102,2.6470108780388352e-15,1.4599615604924518e-15,5,False,attempt=1; line-search rejected step
300.36180904522615,CONVERGED,4007.56000596926,577.626971174161,1119575.6406529243,61630.56043554862,45615.563633875914,2.079632989496675e-16,7.2836869661187355e-16,8,False,attempt=1; line-search rejected step
301.0251256281407,CONVERGED,4011.892267805001,558.6180363230657,1095783.3090736237,62299.815918123764,45731.663003099835,2.9747021917224387e-15,0.0,6,False,attempt=1; line-search rejected step
301.6884422110553,CONVERGED,4015.8660737579776,540.3558707673858,1072231.5254752233,62883.88427025909,45845.802649603276,8.685834658729209e-15,7.251657960870962e-16,5,False,attempt=1; line-search rejected step
302.35175879396985,CONVERGED,4019.513205455118,522.866551620642,1049044.0896771895,63374.468838840294,45957.93344143901,5.104747128108665e-15,0.0,5,False,attempt=1; line-search rejected step
303.0150753768844,CONVERGED,4022.861874177841,506.1704910173169,1026337.2264242615,63763.89054249739,46068.02018917245,4.877401608045057e-15,0.0,6,False,attempt=1; line-search rejected step
303.678391959799,CONVERGED,4025.9371373225936,490.28295601500383,1004219.0474204508,64045.209373457285,46176.04031400988,2.3185244718465e-15,7.204139153740553e-16,5,False,attempt=1; line-search rejected step
304.34170854271355,CONVERGED,4028.761269282815,475.21457694315325,982789.1984795418,64212.33760663965,46281.98254429263,3.908982339480626e-15,7.188437641814431e-16,5,False,attempt=1; line-search rejected step
305.00502512562815,CONVERGED,4031.354089635392,460.97184421394326,962138.6831764244,64260.14249039826,46385.84564312349,3.266902936435494e-15,7.172804424325311e-16,5,False,attempt=1; line-search rejected step
305.6683417085427,CONVERGED,4033.7332521240205,447.5575927509732,942349.8505779293,64184.53639674972,46487.637171588234,1.2353726352854942e-16,7.157239056665502e-16,6,False,attempt=1; line-search rejected step
306.3316582914573,CONVERGED,4035.9144981690583,434.97147255444963,923496.531549861,63982.55265771802,46587.372293096756,1.7648301318921536e-15,0.0,5,False,attempt=1; line-search rejected step
